Open,High,Low,Close,bband_lower,bband_upper,pct_b,Trade Counter,Buying Price,Units Bought,Buying Amount,Available Capital,Selling Price,Selling Amount,Profit
117.0,117.38,115.5,115.68,114.33051243661917,119.91248756338082,0.24175807536493468,,,,,,,,
116.3,116.3,113.65,113.87,113.9547540555812,119.70624594441877,-0.01473601236327745,,,,,,,,
114.1,115.13,112.8,114.74,113.80634912936874,119.41465087063126,0.1664765759235119,,,,,,,,
116.9,118.0,114.02,117.09,113.93060887941834,119.10039112058169,0.6111265374826905,1.0,117.09,6731.0,788132.79,135.74999999976717,,,
117.2,118.0,116.7,117.45,114.14760615362688,118.69639384637311,0.7259942801110099,,,0.0,,,117.2,788873.2000000001,740.4100000000326
117.8,117.8,116.43,116.86,114.24965230149604,118.44434769850398,0.6222973187435523,,,,,,,,
117.0,117.2,115.0,116.12,114.23511451944337,118.34588548055662,0.4585235953029559,,,,,,,,
116.9,116.9,115.12,116.61,114.27067290225226,118.21332709774775,0.5933381376486017,1.0,116.61,6765.0,788866.65,142.29999999981374,,,
116.5,116.5,114.2,114.52,114.03837170819747,118.27062829180255,0.11379940754732468,,,0.0,,,116.5,788122.5,-744.1500000000233
116.0,116.0,114.0,114.89,113.89447941363099,118.269520586369,0.2275454211887999,,,,,,,,
114.89,115.7,114.3,114.98,113.86947234710281,118.2775276528972,0.2519314245983712,,,,,,,,
115.5,116.16,115.04,115.97,113.87596294612713,118.28103705387285,0.47536931335406823,1.0,115.97,6796.0,788132.12,132.6799999998184,,,
116.5,116.8,115.24,116.43,114.01781811593703,118.291181884063,0.5644691196323808,,,0.0,,,116.5,791734.0,3601.8800000000047
116.99,117.1,115.01,116.78,114.0210326210581,118.27196737894188,0.6490260462890246,1.0,116.78,6780.0,791768.4,98.27999999979511,,,
117.4,117.4,116.22,116.44,114.0715647984519,118.10343520154811,0.5874284053697003,,,0.0,,,117.4,795972.0,4203.599999999977
116.9,117.45,116.0,117.31,114.08395269281652,118.24604730718346,0.7751018672299373,1.0,117.31,6785.0,795948.35,121.92999999981839,,,
117.2,117.2,115.87,116.4,114.08096403158409,118.21803596841589,0.5605500711191044,,,0.0,,,117.2,795202.0,-746.3499999999767
116.99,117.0,114.44,114.66,113.90317427971026,118.16082572028974,0.1777566179035862,,,,,,,,
114.71,115.3,114.57,114.82,113.78784561901588,118.04515438098412,0.2424429231454019,,,,,,,,
114.87,114.87,113.11,113.52,113.41166554960509,118.10233445039489,0.023095735957118044,,,,,,,,
114.2,120.6,113.2,119.55,113.05731763268803,118.84368236731198,1.1220658677911555,1.0,119.55,6652.0,795246.6,77.32999999984168,,,
120.5,123.65,120.5,123.0,112.27856152879505,120.53543847120497,1.2984859222179113,,,0.0,,,120.5,801566.0,6319.400000000023
123.0,124.2,122.21,122.69,111.89487261570387,121.71412738429613,1.0993835722467735,,,,,,,,
123.3,123.3,121.05,121.36,111.70158015201969,122.33441984798029,0.9083575154104442,,,,,,,,
121.74,122.92,121.4,122.76,111.37846815820352,123.18853184179649,0.9637146883135085,1.0,122.76,6529.0,801500.04,143.28999999980442,,,
122.76,123.8,121.63,122.09,111.26746947648334,123.82253052351663,0.8620054082551817,,,0.0,,,122.76,801500.04,0.0
122.45,122.45,120.8,121.57,111.33075278173388,124.30424721826611,0.7892435818551156,,,,,,,,
121.8,122.39,119.18,120.5,111.4449190975787,124.57908090242127,0.68942967484097,,,,,,,,
121.2,121.2,119.37,119.84,111.87761316958526,124.67838683041472,0.6220238746021853,,,,,,,,
120.79,120.79,118.0,118.22,112.24511301842129,124.64388698157869,0.4818933710165951,,,,,,,,
118.63,126.0,117.41,117.57,112.57434246591401,124.57365753408598,0.4163285575638311,,,,,,,,
118.3,119.58,117.01,119.43,112.86511308471427,124.62888691528573,0.5580595997370368,1.0,119.43,6711.0,801494.7300000001,148.5999999997439,,,
119.2,119.32,118.0,118.54,113.07075786589698,124.634242134103,0.472975273477112,,,0.0,,,119.2,799951.2000000001,-1543.530000000028
118.9,119.88,118.4,119.74,113.2910453297554,124.70995467024463,0.564761001068452,1.0,119.74,6681.0,799982.94,116.85999999986961,,,
120.0,120.55,119.45,119.89,113.58203322548924,124.76396677451076,0.5641212896550204,,,0.0,,,120.0,801720.0,1737.0600000000559
120.8,121.19,119.51,120.87,113.78313770587717,124.91886229412283,0.6364078276148629,1.0,120.87,6633.0,801730.7100000001,106.14999999979045,,,
121.35,121.47,120.75,120.95,114.1482057363829,125.0087942636171,0.6262822909238114,,,0.0,,,121.35,804914.5499999999,3183.839999999851
121.14,122.8,120.77,122.48,114.91739475877432,125.0216052412257,0.7484607782429055,1.0,122.48,6572.0,804938.56,82.13999999966472,,,
122.8,123.7,122.2,123.46,115.7409905406113,125.06200945938872,0.8281293629646606,,,0.0,,,122.8,807041.6,2103.039999999921
122.0,123.7,120.13,122.96,117.38195065306185,124.36504934693816,0.7987928556458325,,,,,,,,
123.5,123.5,122.21,123.0,117.48947656448502,124.602523435515,0.7747064704378999,,,,,,,,
123.49,123.5,122.21,122.67,117.50825933945538,124.55074066054459,0.7329434648392212,,,,,,,,
123.8,123.8,121.61,122.54,117.51504090339475,124.5289590966052,0.7164268185319681,,,,,,,,
124.0,124.0,122.89,123.5,117.4521483719443,124.80585162805568,0.8224225832106516,1.0,123.5,6534.0,806949.0,174.73999999964144,,,
123.9,124.82,123.0,124.68,117.27847587976737,125.17152412023262,0.9377269585516129,,,0.0,,,123.9,809562.6000000001,2613.600000000093
125.0,125.63,124.68,125.29,117.05042662816876,125.71957337183122,0.9504480216412015,1.0,125.29,6462.0,809623.9800000001,113.35999999963678,,,
126.5,126.5,125.36,125.5,116.87154961474351,126.2914503852565,0.915981027344368,,,0.0,,,126.5,817443.0,7819.019999999902
125.4,126.36,125.24,126.14,116.76670936894197,126.96029063105803,0.9195287102770644,1.0,126.14,6480.0,817387.2,169.15999999968335,,,
126.5,126.7,125.91,126.34,116.81362560734293,127.56337439265708,0.886195071430097,,,0.0,,,126.5,819720.0,2332.8000000000466
126.6,126.6,125.71,126.06,117.2812389790255,127.8797610209745,0.8283004919203003,,,,,,,,
126.4,126.88,125.5,126.48,118.00977621585419,128.0422237841458,0.8442828857552841,1.0,126.48,6481.0,819716.88,172.2799999996787,,,
126.48,128.89,126.3,126.98,118.39036661699613,128.41663338300387,0.8567130302303033,,,0.0,,,126.48,819716.88,0.0
126.69,127.5,125.88,126.06,119.19232118577416,128.36667881422588,0.7485732617319872,,,,,,,,
126.2,126.6,125.5,126.49,119.79565469290453,128.43834530709546,0.7745672737727802,1.0,126.49,6481.0,819781.69,107.46999999973923,,,
127.0,127.0,125.51,125.7,120.52360138893268,128.2913986110673,0.6663920881349713,,,0.0,,,127.0,823087.0,3305.310000000056
126.19,126.19,124.97,125.55,121.10675650450486,128.17624349549519,0.6285100320798113,,,,,,,,
126.0,126.69,125.72,126.04,121.77116973092551,128.0208302690745,0.68304994215555,1.0,126.04,6530.0,823041.2000000001,153.26999999966938,,,
126.6,126.6,125.67,125.73,122.13087998583043,127.98612001416959,0.6146835990924298,,,0.0,,,126.6,826698.0,3656.79999999993
126.5,126.7,125.73,126.4,122.32090224458865,128.0900977554113,0.7070479320312889,1.0,126.4,6541.0,826782.4,68.8699999996461,,,
126.9,127.41,126.53,126.83,122.63181712699914,128.16618287300085,0.7585662143912023,,,0.0,,,126.9,830052.9,3270.5
127.7,127.7,126.5,126.6,123.00743975274526,128.15056024725473,0.6985176122336559,,,,,,,,
126.69,126.69,125.85,126.44,123.56798928886022,127.9670107111398,0.6528749090863698,,,,,,,,
127.1,127.86,126.2,127.74,124.24443492753936,127.81056507246065,0.9802124236657072,1.0,127.74,6498.0,830054.52,67.24999999965075,,,
129.5,129.5,127.31,127.51,124.76928246665001,127.68671753335003,0.9394270894433588,,,0.0,,,129.5,841491.0,11436.479999999981
127.8,128.19,127.71,127.9,124.93890526625341,127.83909473374655,1.0210004439144804,1.0,127.9,6579.0,841454.1000000001,104.14999999955762,,,
127.8,128.5,127.8,128.41,124.93071508417161,128.15928491582838,1.0776551529761895,,,0.0,,,127.8,840796.2,-657.9000000001397
128.6,128.6,127.14,127.51,125.05504855796505,128.23595144203495,0.7717781810722553,,,,,,,,
127.51,129.4,127.38,127.68,125.0866274660397,128.3583725339603,0.7926572762004813,1.0,127.68,6585.0,840772.8,127.54999999946449,,,
128.2,128.2,126.81,126.96,125.12466412251365,128.38233587748636,0.5633888296709997,,,0.0,,,128.2,844196.9999999999,3424.199999999837
127.3,127.64,126.51,127.47,125.1994981330307,128.44850186696928,0.6988301808495921,1.0,127.47,6623.0,844233.8099999999,90.73999999940861,,,
127.0,128.1,126.71,127.2,125.23568475966108,128.4843152403389,0.6046594871353514,,,0.0,,,127.0,841121.0,-3112.8099999999395
127.6,127.6,126.1,126.23,125.17537970592456,128.4696202940754,0.32014064117503765,,,,,,,,
127.2,127.2,125.83,126.33,125.2109150629494,128.46108493705063,0.3443158297564559,,,,,,,,
126.33,126.65,125.6,125.8,125.11726629950235,128.48573370049763,0.20268377847323732,,,,,,,,
126.4,126.48,125.54,126.22,125.19975535430886,128.45524464569115,0.3133921061856534,,,,,,,,
125.5,127.3,125.5,127.11,125.3898625624502,128.4211374375498,0.5674633639066746,1.0,127.11,6617.0,841086.87,124.86999999941327,,,
127.11,128.0,127.1,127.91,125.4774647642327,128.52053523576728,0.7993686832170526,,,0.0,,,127.11,841086.87,0.0
128.5,128.5,127.4,127.53,125.6743265208435,128.50367347915648,0.6558663559109648,,,,,,,,
128.29,128.8,127.51,128.62,125.66933107158401,128.730668928416,0.9638494888210317,1.0,128.62,6539.0,841046.18,165.5599999993574,,,
129.0,129.43,128.21,129.25,125.5497809728601,129.09221902713986,1.044540220730047,,,0.0,,,129.0,843531.0,2484.819999999949
129.2,130.33,129.05,130.2,125.34778551194361,129.6542144880564,1.1267373768314757,1.0,130.2,6479.0,843565.7999999999,130.75999999942724,,,
134.95,134.95,129.78,130.34,125.25959712950312,130.13240287049683,1.0426032024541236,,,0.0,,,134.95,874341.0499999999,30775.25
131.2,131.25,129.28,129.93,125.17189950278251,130.4391004972175,0.9033451547120782,,,,,,,,
130.85,130.85,129.22,129.45,125.17354512004339,130.63145487995658,0.7835334529284375,,,,,,,,
130.35,130.35,128.51,128.69,125.1904216969362,130.69357830306382,0.6359219905112481,,,,,,,,
128.69,130.65,128.3,129.56,125.1600821575176,130.83891784248237,0.7747922437924339,1.0,129.56,6749.0,874400.4400000001,71.36999999929685,,,
130.45,130.5,129.19,130.26,125.13566626138928,131.13833373861073,0.8536760961782772,,,0.0,,,130.45,880407.0499999999,6006.60999999987
130.21,130.26,129.02,129.15,125.18439272114246,131.23660727885752,0.6552324345147991,,,,,,,,
128.95,131.0,128.95,129.42,125.32145907625537,131.3455409237446,0.6803594352644527,1.0,129.42,6802.0,880314.84,163.5799999992596,,,
132.0,134.6,129.4,130.14,125.38034894475605,131.55365105524396,0.7710056903189133,,,0.0,,,132.0,897864.0,17549.160000000033
129.07,130.85,129.07,129.71,125.5186724528741,131.66632754712595,0.6817766258625774,,,,,,,,
129.4,129.47,127.11,127.37,125.7213033212453,131.57769667875473,0.2815208231599815,,,,,,,,
127.95,128.7,127.31,127.76,125.96659759084197,131.47540240915797,0.3255519969041607,,,,,,,,
126.59,127.75,126.5,127.56,126.35102565214092,131.26697434785908,0.2459290002176208,,,,,,,,
128.95,129.55,128.35,129.34,126.82318080275654,131.1068191972434,0.5875424033183262,1.0,129.34,6942.0,897878.28,149.29999999923166,,,
129.95,130.2,129.3,129.61,127.11902108211858,131.06097891788144,0.6319141456264132,,,0.0,,,129.95,902112.8999999999,4234.619999999879
127.0,130.5,124.4,130.41,127.24201935347172,131.18798064652825,0.8028412879018314,1.0,130.41,6918.0,902176.38,85.81999999913387,,,
130.75,131.23,129.8,131.01,127.42793798911859,131.35006201088143,0.9132964666607878,,,0.0,,,130.75,904528.5,2352.1199999999953
131.4,131.45,130.0,131.01,127.45561730281125,131.56138269718875,0.8657052597443027,,,,,,,,
131.45,131.5,130.0,130.91,127.45029251970293,131.73270748029705,0.8078870245253122,,,,,,,,
131.45,131.45,130.5,131.19,127.39724468920232,131.88475531079766,0.8451802414785882,1.0,131.19,6894.0,904423.86,190.45999999914784,,,
