Date,Open,High,Low,Close
10/18/2021,207.39,207.39,195.75,198.91
10/19/2021,198.16,207.8,197.99,198.41
10/20/2021,202.39,202.39,196.46,197.3
10/21/2021,201.44,201.44,190.05,196.08
10/22/2021,199.85,199.85,194.78,195.68
10/25/2021,198.65,198.65,194.06,195.71
10/26/2021,199.39,199.39,194.05,197.13
10/27/2021,203.39,203.39,194.1,196.54
10/28/2021,209,209,192.98,193.68
10/29/2021,209,209,182.1,191.16
11/01/21,208.88,208.88,191.36,193.84
11/02/21,206.9,206.9,183.6,193.1
11/03/21,200,200,190.1,192.58
11/04/21,207.88,207.88,185.11,193.59
11/08/21,200,200,192.6,195.37
11/09/21,200,200,193,194.88
11/10/21,199,199,192.93,194.66
11/11/21,199.9,199.9,192.1,193.25
11/12/21,198,198,191.25,195.46
11/15/2021,199.5,199.5,190,195.52
11/16/2021,199.5,199.5,194.15,194.47
11/17/2021,199.5,199.5,192.1,193.53
11/18/2021,197.44,197.44,191.33,192.14
11/22/2021,197.44,209.4,186,188.53
11/23/2021,193.4,193.4,177.2,189.4
11/24/2021,192.4,192.4,187.78,188.25
11/25/2021,188.7,189.85,187.12,189.51
11/26/2021,193,193,183.81,184.51
11/29/2021,187.66,187.66,180.1,184.55
11/30/2021,188,188,183.21,183.7
12/01/21,187.5,187.5,183.1,185.72
12/02/21,186.92,188.19,184.51,187.99
12/03/21,192.5,192.5,185.75,186
12/06/21,192.4,192.4,182.8,183.01
12/07/21,190,190,180.1,185.71
12/08/21,191,191,185.71,188.48
12/09/21,192.5,192.5,187.16,189.14
12/10/21,185,192.5,185,189.09
12/13/2021,192.4,192.4,187.6,187.9
12/14/2021,188.15,192.4,184.91,187.33
12/15/2021,192,192,185.45,186.25
12/16/2021,190,190,185,186.62
12/17/2021,190,190,182,183.77
12/20/2021,187.5,187.5,177.85,179.93
12/21/2021,185,185,180,181.45
12/22/2021,185,185,180.05,183.33
12/23/2021,187.5,187.5,183.5,184.1
12/24/2021,187.5,187.5,180.1,183.45
12/27/2021,187.49,187.49,178,184.55
12/28/2021,187.45,187.45,184.55,186.3
12/29/2021,188.9,188.9,182.5,186.12
12/30/2021,186.72,187.45,185.3,186.14
12/31/2021,188,188.77,185.15,187.79
01/03/22,190,190.95,185.3,190.72
01/04/22,198.91,198.91,189.2,192.46
01/05/22,195,195,191.3,193.34
01/06/22,193,193,190.75,191.92
01/07/22,194,194,191.4,192.42
01/10/22,193.7,194.5,192.45,194.35
01/11/22,196,196,193.25,194.69
01/12/22,197.5,197.5,195.05,196.2
1/13/2022,198.8,198.8,195.8,197
1/14/2022,199.85,199.85,195.5,197.36
1/17/2022,223,223,195.7,198.03
1/18/2022,199,199,195.6,195.97
1/19/2022,221.4,221.4,193,194.18
1/20/2022,195.8,195.8,191.1,192.18
1/21/2022,191.99,191.99,189.22,190.64
1/24/2022,196.8,196.8,184.05,185.79
1/25/2022,185.49,187.38,183.05,187.07
1/27/2022,194,194,182.7,185.33
1/28/2022,187.75,188.06,184.8,185.1
1/31/2022,199.88,199.88,185.25,187.63
02/01/22,190.8,190.8,178.11,189.7
02/02/22,194,194,189.7,192.12
02/03/22,195,195,189.6,190.01
02/04/22,193,193,189.01,189.59
02/07/22,193,193,185.39,186.34
02/08/22,190,190,184.5,186.81
02/09/22,199.85,199.85,187.1,189.03
02/10/22,191.5,191.5,188.5,190.11
02/11/22,192.5,192.5,187,188
2/14/2022,187.5,187.5,182.3,182.59
2/15/2022,185,187.88,182.59,187.59
2/16/2022,190,190,186.45,187.14
2/17/2022,190,190,186.17,186.93
2/18/2022,183.3,190,183.3,186.64
2/21/2022,190,190,184.69,186.29
2/22/2022,186,186,182.69,185.27
2/23/2022,187.99,187.99,184.58,185.05
2/24/2022,180.6,189.95,177,178.36
2/25/2022,185,185,179,180.85
2/28/2022,189.88,189.88,176.1,181.84
03/02/22,185,185,178.3,180.1
03/03/22,184.9,184.9,178.3,178.86
03/04/22,178.48,178.48,175.06,176.26
03/07/22,176.9,176.9,171.25,172.33
03/08/22,177.55,177.55,170.26,173.4
03/09/22,180,180,173.15,176.98
03/10/22,177.25,183.9,177.25,179.65
03/11/22,183,183,177.16,179.98
3/14/2022,182,182.99,178.35,182.61
3/15/2022,185,185,179.51,180.6
3/16/2022,183.6,183.8,181.8,183.66
3/17/2022,188,188,185.2,186.71
3/21/2022,190,190,182,185.38
3/22/2022,189,193.75,184.2,187.34
3/23/2022,190,190,185,186.34
3/24/2022,198,198,177.8,186.09
3/25/2022,187.12,187.12,185,185.82
3/28/2022,188.2,188.2,184.3,186.32
3/29/2022,190,190,184.15,187.22
3/30/2022,191.5,191.5,187.75,188.91
3/31/2022,190.5,190.5,188.15,188.87
04/01/22,189.94,190.96,185,190.47
04/04/22,190.5,195.35,190.5,195.19
04/05/22,196.74,197.15,194.1,194.55
04/06/22,194.24,194.24,192.7,193
04/07/22,193,193,191.06,191.26
04/08/22,195,195,189.13,192.76
04/11/22,193.54,193.54,191,191.67
04/12/22,189.86,210,189.2,190.42
4/13/2022,195,195,189.33,189.54
4/18/2022,188.55,188.55,185.25,186.23
4/19/2022,185,187.7,182.4,183.68
4/20/2022,191.89,191.89,182.2,185.86
4/21/2022,209.55,209.55,184.41,188.1
4/22/2022,188.24,188.24,184.75,186.09
4/25/2022,186.69,186.69,183.25,183.86
4/26/2022,194.88,194.88,184.47,186.11
4/27/2022,200,200,183.61,184.78
4/28/2022,188.5,194.88,184.8,186.41
4/29/2022,192.75,192.75,184.8,185.43
05/02/22,176.25,185.25,176.25,185.12
05/04/22,193.98,193.98,180.5,181.05
05/05/22,194.48,194.48,180.7,181.01
05/06/22,180.49,180.49,177.35,177.94
05/09/22,171,184.88,171,176.95
05/10/22,184.6,184.6,175.2,176.16
05/11/22,153.3,181.9,153.3,175.34
05/12/22,174.99,175,170.96,171.72
5/13/2022,178.9,178.9,171.01,171.4
5/16/2022,176.8,176.8,171,172.13
5/17/2022,176.9,176.9,171.01,176.44
5/18/2022,178.99,178.99,175.21,176.05
5/19/2022,175.99,175.99,171.5,171.7
5/20/2022,176.99,176.99,172.01,175.92
5/23/2022,178.99,178.99,174.9,175.53
5/24/2022,177.99,177.99,174.26,175.09
5/25/2022,176.8,176.8,173.26,174.13
5/26/2022,176.7,176.7,173,175.57
5/27/2022,179.8,179.8,175.15,177.1
5/30/2022,182.9,182.9,177.55,180.43
5/31/2022,180.99,180.99,177.25,179.87
06/01/22,180.19,180.7,178.55,179.59
06/02/22,180.99,180.99,178,180.68
06/03/22,183.5,184.99,180,180.21
06/06/22,181.99,181.99,176.25,180.15
06/07/22,181.88,181.88,177.25,178.56
06/08/22,181.86,181.86,177.5,178.08
06/09/22,179.99,179.99,176.33,179.4
06/10/22,178.99,178.99,176.14,176.46
6/13/2022,175.99,175.99,170.95,171.87
6/14/2022,172.99,172.99,170.06,171.3
6/15/2022,173.99,173.99,171,171.1
6/16/2022,172.9,172.9,167.31,167.56
6/17/2022,170.9,170.9,165.87,166.87
6/20/2022,169.9,169.9,165.7,167.31
6/21/2022,169.5,170.9,167.47,170.26
6/22/2022,171.99,171.99,167.8,168.08
6/23/2022,169.99,170.27,166.11,169.71
6/24/2022,172.99,172.99,169.9,171.16
6/27/2022,171,173.9,171,172.62
6/28/2022,173.99,173.99,171.3,172.65
